SOC2digit,Occupation,Occupation,Empl(PlaceofWork),Probability,Order
Healthcare Practitioners and Technical (29-0000),Medical Records and Health Information Technicians,Medical Records and Health Information Technicians (29-2071),570.349345,0.91,8
Healthcare Practitioners and Technical (29-0000),Nuclear Medicine Technologists,Nuclear Medicine Technologists (29-2033),41.71459456,0.13,8
Healthcare Practitioners and Technical (29-0000),Occupational Health and Safety Specialists,Occupational Health and Safety Specialists (29-9011),222.1120303,0.17,8
Healthcare Practitioners and Technical (29-0000),Occupational Health and Safety Technicians,Occupational Health and Safety Technicians (29-9012),32.92822407,0.25,8
Healthcare Practitioners and Technical (29-0000),Occupational Therapists,Occupational Therapists (29-1122),339.229703,0.0035,8
Healthcare Practitioners and Technical (29-0000),"Opticians, dispensing","Opticians, Dispensing (29-2081)",142.4079756,0.71,8
Healthcare Practitioners and Technical (29-0000),Optometrists,Optometrists (29-1041),72.74358799,0.14,8
Healthcare Practitioners and Technical (29-0000),Oral and Maxillofacial Surgeons,Oral and Maxillofacial Surgeons (29-1022),15.70084311,0.0036,8
Healthcare Practitioners and Technical (29-0000),Orthodontists,Orthodontists (29-1023),15.25423158,0.023,8
Healthcare Practitioners and Technical (29-0000),Orthotists and Prosthetists,Orthotists and Prosthetists (29-2091),19.25375734,0.0035,8
Healthcare Practitioners and Technical (29-0000),Pharmacists,Pharmacists (29-1051),658.3862021,0.012,8
Healthcare Practitioners and Technical (29-0000),Pharmacy Technicians,Pharmacy Technicians (29-2052),786.7335396,0.92,8
Healthcare Practitioners and Technical (29-0000),Physical Therapists,Physical Therapists (29-1123),586.328509,0.021,8
Healthcare Practitioners and Technical (29-0000),Physician Assistants,Physician Assistants (29-1071),309.585048,0.14,8
Healthcare Practitioners and Technical (29-0000),Podiatrists,Podiatrists (29-1081),22.920737,0.0046,8
Healthcare Practitioners and Technical (29-0000),Prosthodontists,Prosthodontists (29-1024),1.376345148,0.055,8
Healthcare Practitioners and Technical (29-0000),Psychiatric Technicians,Psychiatric Technicians (29-2053),275.7750551,0.043,8
Healthcare Practitioners and Technical (29-0000),Radiation Therapists,Radiation Therapists (29-1124),54.48883344,0.34,8
Healthcare Practitioners and Technical (29-0000),Recreational Therapists,Recreational Therapists (29-1125),37.60048433,0.0028,8
Healthcare Practitioners and Technical (29-0000),Respiratory Therapists,Respiratory Therapists (29-1126),310.4110017,0.066,8
Healthcare Practitioners and Technical (29-0000),Respiratory Therapy Technicians,Respiratory Therapy Technicians (29-2054),10.71021369,0.1,8
Healthcare Practitioners and Technical (29-0000),Speech-Language Pathologists,Speech-Language Pathologists (29-1127),387.7528396,0.0064,8
Healthcare Practitioners and Technical (29-0000),Surgical Technologists,Surgical Technologists (29-2055),275.5478162,0.34,8
Healthcare Practitioners and Technical (29-0000),Veterinarians,Veterinarians (29-1131),201.5366333,0.038,8
Healthcare Practitioners and Technical (29-0000),Veterinary Technologists and Technicians,Veterinary Technologists and Technicians (29-2056),245.3738292,0.029,8
Legal (23-0000),"Administrative Law Judges, Adjudicators, and Hearing Officers","Administrative Law Judges, Adjudicators, and Hearing Officers (23-1021)",37.91201374,0.64,9
Legal (23-0000),"Arbitrators, Mediators, and Conciliators","Arbitrators, Mediators, and Conciliators (23-1022)",15.09894315,0.06,9
Legal (23-0000),Court Reporters,Court Reporters (23-2091),20.32441809,0.5,9
Legal (23-0000),"Judges, Magistrate Judges, and Magistrates","Judges, Magistrate Judges, and Magistrates (23-1023)",71.44215577,0.4,9
Legal (23-0000),Judicial Law Clerks,Judicial Law Clerks (23-1012),45.24167417,0.41,9
Legal (23-0000),Lawyers,Lawyers (23-1011),1176.883998,0.035,9
Legal (23-0000),"Title Examiners, Abstractors, and Searchers","Title Examiners, Abstractors, and Searchers (23-2093)",141.6769184,0.99,9
